L1PhaseSet,L2PhaseSet,currentProfileBinData,maximizeMe
-29.21877081955301,-41.9447001518578,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   5  12  22  33  44  52  58  63  68  75
  86 103 128 158 192 223 251 274 299 329 364 404 443 478 513 558 627 719
 798 804 700 514 315 161  69  25   7   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002945166357744625
-29.22971628970631,-41.986564605670196,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   7  14  23  33  41  47  53  60  68  79
  92 109 129 151 174 202 240 284 325 354 371 387 414 462 525 594 667 743
 798 783 673 493 306 162  73  28   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002938838532503467
-29.221221619151347,-42.00272206004424,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   4   9  18  28  38  48  57  66  73  79
  88 101 121 147 180 218 262 306 341 360 374 397 434 472 499 528 588 689
 793 822 724 530 321 161  69  25   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002893946926449255
-29.2234190312609,-41.985322997257896,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   5  12  21  32  42  50  55  61  69  77
  87 100 119 145 177 209 238 265 296 333 378 425 467 501 539 599 686 770
 805 760 633 460 289 156  73  30  10   3   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0028933654233771187
-29.22823894153603,-42.003783222219305,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   6  13  23  35  46  55  61  66  70  75
  84  99 123 154 188 220 246 272 304 348 395 429 443 450 473 531 621 724
 801 804 704 523 324 166  70  24   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0028602616589800582
-29.21994962745091,-41.92309417222936,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   8  16  25  35  43  49  54  60  67  75
  87 104 130 165 206 247 283 310 331 351 374 401 427 445 457 475 521 611
 724 798 761 606 394 207  88  30   8   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0028427795937578074
-29.23225427472232,-41.98534784486789,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   8  15  25  35  45  52  58  61  65  71
  81  98 121 150 181 210 237 263 290 321 359 409 470 528 566 592 635 715
 796 802 689 492 292 146  63  24   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002825738301154876
-29.23516369051567,-41.98525949594567,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   4   9  16  25  34  42  48  53  58  64  71
  83 101 126 155 183 207 228 249 275 309 358 419 485 542 587 626 677 742
 789 764 644 462 282 149  69  29  11   3   1   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002825681895477428
-29.23772245161605,-42.109152257833976,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   3   7  14  23  32  40  49  57  66  76
  88 103 123 148 178 207 237 269 303 338 376 423 480 536 580 622 681 758
 807 768 629 438 263 140  68  30  12   4   1   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0028140001465249915
-29.217818843755936,-42.02956478992368,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   3   7  14  22  30  38  46  56  67  77
  87  99 116 141 170 202 238 279 324 367 408 452 499 534 553 579 645 745
 817 790 648 446 260 130  57  22   7   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.002811396660949408
