0,1,2,3,4,5,6
2e-06,-9.62648546575839e-06,-1.47932719100535e-06,-7.58651687178578e-06,-1.37786313800473e-06,-6.99768009766399e-06,-1.41567656169765e-06
2e-06,1.01431467497281e-06,1.73133702059125e-06,-9.65193869026139e-07,1.8521274175727e-06,-1.99323320321683e-06,1.77632157624249e-06
2e-06,-6.87810416642171e-06,4.93409105585781e-07,-7.46322141064515e-06,7.53204846290289e-07,-8.17253960594743e-06,7.6015489829064e-07
2e-06,4.10492258443559e-06,-1.73887180656766e-07,4.19087665975972e-06,-2.94295351764704e-07,4.4818205003722e-06,-2.71027488922076e-07
2e-06,4.51850870652932e-07,2.06485111753854e-06,-1.26364677733223e-06,2.3519559811099e-06,-2.40490916983861e-06,2.26970099686412e-06
2e-06,-1.98364426367451e-05,-3.2647428181049e-06,-1.74895753879282e-05,-3.04954160340563e-06,-1.6544496293339e-05,-3.15197640717428e-06
2e-06,-1.19600464403439e-05,9.5865742788133e-07,-1.39291705543759e-05,1.41406471716945e-06,-1.52254064425208e-05,1.25929723470351e-06
2e-06,1.88191624975035e-06,4.99635198379641e-07,1.87719399939587e-06,5.7358827916695e-07,1.8982428864577e-06,5.32000162353385e-07
2e-06,-1.31848642506682e-05,-7.51403041513853e-07,-1.3293197434726e-05,-5.25903663066554e-07,-1.37363495869137e-05,-5.72157951496321e-07
2e-06,-1.02556352997754e-05,-1.45392075067736e-06,-8.76071060156478e-06,-1.30058234589722e-06,-8.20950834510765e-06,-1.37140892872295e-06
2e-06,-8.06611349545391e-07,-5.12529019195863e-07,-2.79041197930917e-07,-4.86659904811689e-07,2.51846442395864e-07,-5.97828106209362e-07
2e-06,-2.22516264162693e-08,-8.25178324209333e-08,-1.27170497112963e-06,-3.50563391496514e-08,-1.73098722438257e-06,5.87866486622161e-08
2e-06,-4.07169352220581e-06,-1.60834904531966e-06,-4.28409997709954e-06,-1.68340364650214e-06,-4.03117673934383e-06,-1.67146239187694e-06
2e-06,7.13437248291636e-06,-4.73615164180559e-08,6.6164328712146e-06,-2.16092543507373e-07,6.6930754610736e-06,-1.16496816268464e-07
